region,split_key,team_id,team_name,team_games,champion_id,champion_name,champ_games,champ_pct
LEC,LEC_Season_2024,353,SK Gaming,126,16e85313-6510-315b-83f5-13f437b191c3,Kai'Sa,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,1dc7e56e-efef-35da-b827-dd31dd8812bf,Zeri,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,1e6bddd1-a107-3db2-a589-5bec2044b11c,Poppy,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,2318754b-1f27-3758-a5d7-d221fce0f02e,Lucian,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,3a52e342-5377-32b9-935f-b54a66688acd,Ezreal,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,3f8c659e-ac1f-3a2e-877d-3af99bbc027b,Leona,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,40cc8559-a028-35a5-a6dd-5e48c4601d66,K'Sante,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,5179b7c8-f751-3f66-b40d-6671d54aab37,Nocturne,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,7552f226-fa3b-3053-b692-0dcdd9c79cf4,Rumble,6,4.761905
LEC,LEC_Season_2024,353,SK Gaming,126,8092e614-e064-36f3-87b7-0c5ac018d7cc,Sejuani,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,84342d87-2ee5-3cfa-8dbb-e2ee7998fa18,Smolder,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,e5a58f35-4cf1-302e-85fc-e99e161c38ab,Lulu,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,eaea6b00-a13f-3241-a356-04d7882fb128,Azir,3,2.380952
LEC,LEC_Season_2024,353,SK Gaming,126,f5848d60-ffbf-3c51-93ec-797142690b59,Rell,3,2.380952
LEC,LEC_Season_2024,47376,Fnatic,1116,14fada26-63ec-357f-8bf6-e2993edca107,Taliyah,3,0.268817
LEC,LEC_Season_2024,47376,Fnatic,1116,16e85313-6510-315b-83f5-13f437b191c3,Kai'Sa,3,0.268817
LEC,LEC_Season_2024,47376,Fnatic,1116,1dc7e56e-efef-35da-b827-dd31dd8812bf,Zeri,6,0.537634
LEC,LEC_Season_2024,47376,Fnatic,1116,1e6bddd1-a107-3db2-a589-5bec2044b11c,Poppy,3,0.268817
LEC,LEC_Season_2024,47376,Fnatic,1116,28c76f65-a320-3efc-8dbf-f5ccd8f30078,Vi,6,0.537634
LEC,LEC_Season_2024,47376,Fnatic,1116,31360e91-4470-348a-9a2b-ce10e9a107b1,Rakan,6,0.537634
LEC,LEC_Season_2024,47376,Fnatic,1116,31822a27-64be-3b58-9cfa-17fd705fc871,Yone,6,0.537634
LEC,LEC_Season_2024,47376,Fnatic,1116,362848c1-8982-3378-a4fd-b49296f5bdb4,Tristana,3,0.268817
LEC,LEC_Season_2024,47376,Fnatic,1116,3a52e342-5377-32b9-935f-b54a66688acd,Ezreal,12,1.075269
LEC,LEC_Season_2024,47376,Fnatic,1116,3c5e97bf-06f1-39dd-bf3b-d3dde17221bf,Brand,3,0.268817
